-23715064,-107148849,5820099,-400105134,-400105134,-400105134,-400105134,-400105134
-23721019,-107150769,5815963,-400105134,-400105134,-400105134,-400105134,-400105134
-23729192,-107162237,5802462,-400105134,-400105134,-400105134,-400105134,-400105134
-23742816,-107169760,5800928,-400105134,-400105134,-400105134,-400105134,-400105134
-23744180,-107164892,5811941,-400105134,-400105134,-400105134,-400105134,-400105134
-23723317,-107147221,5826556,-400105134,-400105134,-400105134,-400105134,-400105134
-23736919,-107163169,5807874,-400105134,-400105134,-400105134,-400105134,-400105134
-23740534,-107166585,5806207,-400105134,-400105134,-400105134,-400105134,-400105134
-23725443,-107154818,5821124,-400105134,-400105134,-400105134,-400105134,-400105134
-23718706,-107149001,5827354,-400105134,-400105134,-400105134,-400105134,-400105134
-23735773,-107165656,5804685,-400105134,-400105134,-400105134,-400105134,-400105134
-23743468,-107175540,5794425,-400105134,-400105134,-400105134,-400105134,-400105134
-23746512,-107178459,5792557,-400105134,-400105134,-400105134,-400105134,-400105134
-23739280,-107171395,5804461,-400105134,-400105134,-400105134,-400105134,-400105134
-23716067,-107152213,5827168,-400105134,-400105134,-400105134,-400105134,-400105134
-23706366,-107144385,5831200,-400105134,-400105134,-400105134,-400105134,-400105134
-23710742,-107144620,5828371,-400105134,-400105134,-400105134,-400105134,-400105134
-23737575,-107163285,5811141,-400105134,-400105134,-400105134,-400105134,-400105134
-23758454,-107178461,5799576,-400105134,-400105134,-400105134,-400105134,-400105134
-23748383,-107170656,5810631,-400105134,-400105134,-400105134,-400105134,-400105134
-23723128,-107153530,5826029,-400105134,-400105134,-400105134,-400105134,-400105134
-23706509,-107147203,5832431,-400105134,-400105134,-400105134,-400105134,-400105134
-23705020,-107149460,5827067,-400105134,-400105134,-400105134,-400105134,-400105134
-23702934,-107144714,5827538,-400105134,-400105134,-400105134,-400105134,-400105134
-23743117,-107165507,5812994,-400105134,-400105134,-400105134,-400105134,-400105134
-23767403,-107185444,5791513,-400105134,-400105134,-400105134,-400105134,-400105134
-23761131,-107185843,5789489,-400105134,-400105134,-400105134,-400105134,-400105134
-23753733,-107186956,5786095,-400105134,-400105134,-400105134,-400105134,-400105134
-23756160,-107185968,5784575,-400105134,-400105134,-400105134,-400105134,-400105134
-23759554,-107187660,5787328,-400105134,-400105134,-400105134,-400105134,-400105134
-23753178,-107186051,5792008,-400105134,-400105134,-400105134,-400105134,-400105134
-23752702,-107185711,5792020,-400105134,-400105134,-400105134,-400105134,-400105134
-23744874,-107182041,5793719,-400105134,-400105134,-400105134,-400105134,-400105134
-23722305,-107163179,5809742,-400105134,-400105134,-400105134,-400105134,-400105134
-23722591,-107158690,5815979,-400105134,-400105134,-400105134,-400105134,-400105134
-23723481,-107157625,5818878,-400105134,-400105134,-400105134,-400105134,-400105134
-23724053,-107156446,5816457,-400105134,-400105134,-400105134,-400105134,-400105134
-23744829,-107172209,5801706,-400105134,-400105134,-400105134,-400105134,-400105134
-23744383,-107172026,5806294,-400105134,-400105134,-400105134,-400105134,-400105134
-23731093,-107159909,5819076,-400105134,-400105134,-400105134,-400105134,-400105134
-23736026,-107161578,5818172,-400105134,-400105134,-400105134,-400105134,-400105134
-23724299,-107154336,5823057,-400105134,-400105134,-400105134,-400105134,-400105134
-23744459,-107169150,5807082,-400105134,-400105134,-400105134,-400105134,-400105134
-23750705,-107171397,5805986,-400105134,-400105134,-400105134,-400105134,-400105134
-23738462,-107161957,5821418,-400105134,-400105134,-400105134,-400105134,-400105134
-23726032,-107152443,5830458,-400105134,-400105134,-400105134,-400105134,-400105134
-23725195,-107153937,5824161,-400105134,-400105134,-400105134,-400105134,-400105134
-23727062,-107152766,5825389,-400105134,-400105134,-400105134,-400105134,-400105134
-23723039,-107150705,5825726,-400105134,-400105134,-400105134,-400105134,-400105134
-23740766,-107168563,5806477,-400105134,-400105134,-400105134,-400105134,-400105134
-23746190,-107168190,5812011,-400105134,-400105134,-400105134,-400105134,-400105134
-23744255,-107163146,5812197,-400105134,-400105134,-400105134,-400105134,-400105134
-23747978,-107170115,5798045,-400105134,-400105134,-400105134,-400105134,-400105134
-23745075,-107169996,5797596,-400105134,-400105134,-400105134,-400105134,-400105134
-23742894,-107165203,5803900,-400105134,-400105134,-400105134,-400105134,-400105134
-23739181,-107157219,5817213,-400105134,-400105134,-400105134,-400105134,-400105134
-23731965,-107151953,5826098,-400105134,-400105134,-400105134,-400105134,-400105134
-23735229,-107161126,5812628,-400105134,-400105134,-400105134,-400105134,-400105134
-23727205,-107157506,5813328,-400105134,-400105134,-400105134,-400105134,-400105134
-23718915,-107156085,5807886,-400105134,-400105134,-400105134,-400105134,-400105134
-23722345,-107159270,5803161,-400105134,-400105134,-400105134,-400105134,-400105134
-23732794,-107163057,5805515,-400105134,-400105134,-400105134,-400105134,-400105134
-23743124,-107168870,5801112,-400105134,-400105134,-400105134,-400105134,-400105134
-23749612,-107174047,5796212,-400105134,-400105134,-400105134,-400105134,-400105134
-23736590,-107167127,5804010,-400105134,-400105134,-400105134,-400105134,-400105134
-23730221,-107160882,5816711,-400105134,-400105134,-400105134,-400105134,-400105134
-23742255,-107168707,5810506,-400105134,-400105134,-400105134,-400105134,-400105134
-23749725,-107178507,5799955,-400105134,-400105134,-400105134,-400105134,-400105134
-23742948,-107173917,5806334,-400105134,-400105134,-400105134,-400105134,-400105134
-23737455,-107169419,5813171,-400105134,-400105134,-400105134,-400105134,-400105134
-23734918,-107161600,5831015,-400105134,-400105134,-400105134,-400105134,-400105134
-23735510,-107163562,5828814,-400105134,-400105134,-400105134,-400105134,-400105134
-23733556,-107170100,5803672,-400105134,-400105134,-400105134,-400105134,-400105134
-23738318,-107177629,5786317,-400105134,-400105134,-400105134,-400105134,-400105134
-23739417,-107174358,5797855,-400105134,-400105134,-400105134,-400105134,-400105134
-23744727,-107176973,5795482,-400105134,-400105134,-400105134,-400105134,-400105134
-23752477,-107179344,5798730,-400105134,-400105134,-400105134,-400105134,-400105134
-23754064,-107179802,5804052,-400105134,-400105134,-400105134,-400105134,-400105134
-23758596,-107187514,5792322,-400105134,-400105134,-400105134,-400105134,-400105134
-23757569,-107186845,5786273,-400105134,-400105134,-400105134,-400105134,-400105134
-23755613,-107187196,5783196,-400105134,-400105134,-400105134,-400105134,-400105134
-23754264,-107186048,5786130,-400105134,-400105134,-400105134,-400105134,-400105134
-23739647,-107171042,5806238,-400105134,-400105134,-400105134,-400105134,-400105134
-23732120,-107164785,5810524,-400105134,-400105134,-400105134,-400105134,-400105134
-23746739,-107173636,5799782,-400105134,-400105134,-400105134,-400105134,-400105134
-23753340,-107178304,5794909,-400105134,-400105134,-400105134,-400105134,-400105134
-23752675,-107178554,5794100,-400105134,-400105134,-400105134,-400105134,-400105134
-23739706,-107168104,5806172,-400105134,-400105134,-400105134,-400105134,-400105134
-23719342,-107153466,5820708,-400105134,-400105134,-400105134,-400105134,-400105134
-23723704,-107156481,5814575,-400105134,-400105134,-400105134,-400105134,-400105134
-23754397,-107177408,5792632,-400105134,-400105134,-400105134,-400105134,-400105134
-23751317,-107176537,5794695,-400105134,-400105134,-400105134,-400105134,-400105134
-23743294,-107170513,5805134,-400105134,-400105134,-400105134,-400105134,-400105134
-23723542,-107155108,5823545,-400105134,-400105134,-400105134,-400105134,-400105134
-23725654,-107155016,5822478,-400105134,-400105134,-400105134,-400105134,-400105134
-23748292,-107170073,5805784,-400105134,-400105134,-400105134,-400105134,-400105134
-23762988,-107184919,5790982,-400105134,-400105134,-400105134,-400105134,-400105134
-23753350,-107177033,5796542,-400105134,-400105134,-400105134,-400105134,-400105134
-23749194,-107173703,5796031,-400105134,-400105134,-400105134,-400105134,-400105134
-23741956,-107170083,5802576,-400105134,-400105134,-400105134,-400105134,-400105134
-23735866,-107165093,5810654,-400105134,-400105134,-400105134,-400105134,-400105134
-23732847,-107160308,5817304,-400105134,-400105134,-400105134,-400105134,-400105134
-23737566,-107161165,5817494,-400105134,-400105134,-400105134,-400105134,-400105134
-23749803,-107174907,5795269,-400105134,-400105134,-400105134,-400105134,-400105134
-23748854,-107178113,5785081,-400105134,-400105134,-400105134,-400105134,-400105134
-23722795,-107157006,5809124,-400105134,-400105134,-400105134,-400105134,-400105134
-23713999,-107150532,5819103,-400105134,-400105134,-400105134,-400105134,-400105134
-23729712,-107158717,5813598,-400105134,-400105134,-400105134,-400105134,-400105134
-23736397,-107167062,5805171,-400105134,-400105134,-400105134,-400105134,-400105134
-23742829,-107176009,5794434,-400105134,-400105134,-400105134,-400105134,-400105134
-23740097,-107170334,5801360,-400105134,-400105134,-400105134,-400105134,-400105134
-23739762,-107170374,5803933,-400105134,-400105134,-400105134,-400105134,-400105134
-23739746,-107172675,5801753,-400105134,-400105134,-400105134,-400105134,-400105134
-23746300,-107179666,5793690,-400105134,-400105134,-400105134,-400105134,-400105134
-23750556,-107184302,5787665,-400105134,-400105134,-400105134,-400105134,-400105134
-23757989,-107191716,5778318,-400105134,-400105134,-400105134,-400105134,-400105134
-23755011,-107190279,5779594,-400105134,-400105134,-400105134,-400105134,-400105134
-23758541,-107192833,5775348,-400105134,-400105134,-400105134,-400105134,-400105134
-23756711,-107189908,5781094,-400105134,-400105134,-400105134,-400105134,-400105134
-23750996,-107187628,5786443,-400105134,-400105134,-400105134,-400105134,-400105134
-23741685,-107181511,5793363,-400105134,-400105134,-400105134,-400105134,-400105134
-23738489,-107178514,5796555,-400105134,-400105134,-400105134,-400105134,-400105134
